,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
354,2021-10-11,43.935,42.72,43.19
355,2021-10-08,43.8,43.09,43.38
356,2021-10-07,44.5765,43.52,43.68
357,2021-10-06,44.14,43.22,44.02
358,2021-10-05,45.56,44.46,44.74
359,2021-10-04,46.0,44.81,44.96
360,2021-10-01,45.65,43.89,45.38
361,2021-09-30,43.08,42.37,42.61
362,2021-09-29,43.99,42.75,43.36
363,2021-09-28,44.21,43.3112,43.44
364,2021-09-27,45.06,43.75,43.78
365,2021-09-24,43.74,42.67,43.53
366,2021-09-23,42.77,41.7248,42.59
367,2021-09-22,41.945,40.68,41.59
368,2021-09-21,41.74,40.14,40.36
369,2021-09-20,40.84,39.42,40.78
370,2021-09-17,40.99,39.79,40.11
371,2021-09-16,40.675,39.68,40.22
372,2021-09-15,39.695,38.82,39.64
373,2021-09-14,40.18,39.22,39.44
374,2021-09-13,40.18,38.8,40.18
375,2021-09-10,41.13,39.345,39.36
376,2021-09-09,41.77,39.4515,41.09
377,2021-09-08,40.9201,39.6,39.65
378,2021-09-07,40.52,39.842,40.35
379,2021-09-03,41.185,40.145,40.25
380,2021-09-02,41.06,39.86,40.82
381,2021-09-01,40.58,39.88,40.4
382,2021-08-31,40.59,39.62,40.44
383,2021-08-30,41.8,39.88,39.91
384,2021-08-27,41.75,40.82,41.52
385,2021-08-26,41.48,40.2845,40.77
386,2021-08-25,41.4399,40.16,41.3
387,2021-08-24,40.865,39.82,40.53
388,2021-08-23,39.33,38.63,39.21
389,2021-08-20,38.25,37.75,38.12
390,2021-08-19,38.53,37.3064,37.93
391,2021-08-18,39.47,38.4,38.65
392,2021-08-17,39.46,38.28,38.78
393,2021-08-16,40.015,38.88,39.93
394,2021-08-13,40.57,39.79,39.9
395,2021-08-12,41.13,40.045,40.53
396,2021-08-11,41.3,39.68,41.3
397,2021-08-10,41.03,39.205,40.46
398,2021-08-09,40.02,38.75,39.29
399,2021-08-06,40.68,39.48,40.32
400,2021-08-05,40.16,38.47,39.99
401,2021-08-04,39.48,37.9,38.35
402,2021-08-03,39.845,38.545,39.77
403,2021-08-02,40.97,39.399,39.45
404,2021-07-30,41.06,39.75,39.9
405,2021-07-29,41.63,40.95,41.23
406,2021-07-28,41.645,40.63,41.3
407,2021-07-27,41.49,40.5,40.96
408,2021-07-26,41.7,40.31,41.67
409,2021-07-23,41.63,40.32,40.41
410,2021-07-22,41.555,40.41,41.06
411,2021-07-21,42.2,41.0,41.61
412,2021-07-20,40.815,38.43,40.66
413,2021-07-19,39.0,37.56,38.56
414,2021-07-16,42.045,39.84,40.06
415,2021-07-15,42.27,40.68,41.35
416,2021-07-14,42.2,40.12,40.68
417,2021-07-13,42.5499,41.185,41.33
418,2021-07-12,43.38,42.03,42.85
419,2021-07-09,43.2,42.3,42.92
420,2021-07-08,42.8,41.1204,42.07
421,2021-07-07,43.47,41.945,42.54
422,2021-07-06,44.54,43.0,43.24
423,2021-07-02,44.3,43.72,44.15
424,2021-07-01,44.42,43.5,44.23
425,2021-06-30,43.59,42.81,43.26
426,2021-06-29,43.475,42.81,42.87
427,2021-06-28,44.1,42.58,43.12
428,2021-06-25,44.983,44.2623,44.43
429,2021-06-24,45.64,44.59,44.91
430,2021-06-23,45.6124,45.01,45.27
431,2021-06-22,45.79,44.87,45.37
432,2021-06-21,45.78,44.82,45.77
433,2021-06-18,45.38,43.95,44.96
434,2021-06-17,46.05,44.25,44.57
435,2021-06-16,45.99,45.13,45.52
436,2021-06-15,46.28,45.31,45.53
437,2021-06-14,46.79,45.72,45.9
438,2021-06-11,46.63,46.0,46.5
439,2021-06-10,47.44,45.99,46.28
440,2021-06-09,47.4,46.48,46.52
441,2021-06-08,47.38,46.375,47.04
442,2021-06-07,46.38,45.885,46.08
443,2021-06-04,46.73,45.68,45.98
444,2021-06-03,47.38,46.07,46.13
445,2021-06-02,48.28,47.415,47.77
446,2021-06-01,48.54,47.43,47.7
447,2021-05-28,48.06,47.25,47.68
448,2021-05-27,48.198,47.25,48.05
449,2021-05-26,47.57,46.81,47.49
450,2021-05-25,48.16,46.505,46.67
451,2021-05-24,46.2801,45.01,46.17
452,2021-05-21,46.0,45.11,45.21
453,2021-05-20,46.37,44.91,45.41
454,2021-05-19,46.2909,45.13,46.14
455,2021-05-18,47.795,46.3899,46.73
456,2021-05-17,46.83,45.26,46.75
457,2021-05-14,46.435,44.81,46.31
458,2021-05-13,44.3,42.94,43.97
459,2021-05-12,44.74,42.935,43.03
460,2021-05-11,45.05,43.61,44.52
461,2021-05-10,46.77,45.41,45.43
462,2021-05-07,46.345,44.77,46.11
463,2021-05-06,45.51,44.16,44.93
464,2021-05-05,45.81,44.56,45.2
465,2021-05-04,46.41,44.08,44.66
466,2021-05-03,47.23,46.08,46.57
467,2021-04-30,47.08,45.9,46.92
468,2021-04-29,47.01,46.0601,46.38
469,2021-04-28,46.75,46.09,46.44
470,2021-04-27,46.74,46.085,46.34
471,2021-04-26,47.1,46.12,46.61
472,2021-04-23,45.94,44.45,45.8
473,2021-04-22,46.33,44.63,44.65
474,2021-04-21,45.735,43.34,45.7
475,2021-04-20,45.52,43.76,44.45
476,2021-04-19,46.47,45.63,46.15
477,2021-04-16,47.43,46.34,46.64
478,2021-04-15,49.05,46.15,46.82
479,2021-04-14,49.5,47.92,48.17
480,2021-04-13,48.4999,46.57,48.26
481,2021-04-12,49.14,48.17,48.82
482,2021-04-09,49.81,48.83,49.27
483,2021-04-08,50.21,49.14,49.81
484,2021-04-07,51.82,50.03,50.2
485,2021-04-06,51.81,50.54,51.65
486,2021-04-05,50.98,49.47,50.25
487,2021-04-01,49.21,48.28,48.83
488,2021-03-31,49.02,48.11,48.28
489,2021-03-30,49.04,47.42,48.9
490,2021-03-29,48.1,46.71,47.32
491,2021-03-26,47.94,46.56,47.66
492,2021-03-25,47.215,44.52,47.01
493,2021-03-24,47.3999,45.56,45.61
494,2021-03-23,47.83,45.45,45.64
495,2021-03-22,48.62,47.745,47.97
496,2021-03-19,49.21,47.83,49.0
497,2021-03-18,50.98,48.93,49.18
498,2021-03-17,50.64,49.01,50.44
499,2021-03-16,51.14,49.03,49.39
500,2021-03-15,52.28,50.75,50.99
501,2021-03-12,49.86,48.08,49.83
502,2021-03-11,48.96,47.58,48.32
503,2021-03-10,48.575,47.16,47.8
504,2021-03-09,48.08,46.34,47.62
505,2021-03-08,48.22,46.7,47.88
506,2021-03-05,47.0,43.01,46.21
507,2021-03-04,48.41,45.32,46.96
508,2021-03-03,49.085,48.14,48.35
509,2021-03-02,48.6799,47.38,48.23
510,2021-03-01,49.959,48.06,48.06
511,2021-02-26,49.14,47.28,47.94
512,2021-02-25,50.0,47.225,48.25
513,2021-02-24,50.2,48.62,49.6
514,2021-02-23,48.875,45.7,48.34
515,2021-02-22,48.93,46.47,47.74
516,2021-02-19,46.22,44.55,45.67
517,2021-02-18,44.545,43.37,44.38
518,2021-02-17,44.5,43.535,44.39
519,2021-02-16,44.81,43.78,44.65
520,2021-02-12,43.94,42.41,43.29
521,2021-02-11,43.135,41.995,42.72
522,2021-02-10,43.22,42.16,42.9
