,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
326,2021-11-18,171.12,167.37,169.38
327,2021-11-17,167.87,162.84,167.49
328,2021-11-16,166.29,164.34,164.87
329,2021-11-15,166.32,164.23,166.29
330,2021-11-12,166.55,163.895,164.8
331,2021-11-11,166.31,163.91,165.44
332,2021-11-10,167.69,163.78,163.97
333,2021-11-09,167.58,165.54,167.49
334,2021-11-08,171.01,166.26,167.39
335,2021-11-05,170.91,167.27,170.5
336,2021-11-04,167.67,164.52,165.71
337,2021-11-03,166.79,158.7412,166.24
338,2021-11-02,159.97,154.4459,158.99
339,2021-11-01,149.41,147.19,149.36
340,2021-10-29,147.74,145.68,146.58
341,2021-10-28,147.23,143.84,147.12
342,2021-10-27,146.46,143.7,143.93
343,2021-10-26,147.77,145.4834,146.37
344,2021-10-25,146.9,143.75,146.83
345,2021-10-22,145.6,144.0,145.14
346,2021-10-21,145.04,143.38,143.96
347,2021-10-20,144.98,142.07,144.96
348,2021-10-19,145.01,142.69,142.84
349,2021-10-18,144.79,139.9,144.53
350,2021-10-15,141.655,139.33,140.22
351,2021-10-14,139.9,137.51,139.33
352,2021-10-13,137.56,134.22,137.15
353,2021-10-12,135.25,131.33,134.77
354,2021-10-11,133.68,131.02,132.62
355,2021-10-08,135.1,131.765,132.08
356,2021-10-07,136.2,132.95,134.01
357,2021-10-06,132.65,128.6,132.61
358,2021-10-05,132.27,130.42,131.39
359,2021-10-04,134.0,131.59,132.25
360,2021-10-01,134.16,130.15,133.14
361,2021-09-30,134.5,129.42,129.97
362,2021-09-29,134.515,133.2,133.85
363,2021-09-28,135.12,133.19,133.71
364,2021-09-27,137.24,134.01,134.15
365,2021-09-24,136.25,133.82,133.85
366,2021-09-23,136.47,134.32,135.12
367,2021-09-22,134.9,131.85,133.64
368,2021-09-21,132.6,130.35,130.38
369,2021-09-20,130.36,127.065,129.52
370,2021-09-17,133.3,131.15,131.27
371,2021-09-16,133.78,131.15,132.67
372,2021-09-15,131.97,128.69,131.15
373,2021-09-14,131.99,128.68,129.56
374,2021-09-13,131.87,128.35,131.12
375,2021-09-10,131.31,127.89,127.9
376,2021-09-09,132.14,129.96,130.64
377,2021-09-08,133.84,130.77,132.14
378,2021-09-07,135.7,133.23,134.58
379,2021-09-03,136.1751,134.245,135.75
380,2021-09-02,137.38,135.39,136.42
381,2021-09-01,136.45,134.26,135.81
382,2021-08-31,135.2,132.765,134.45
383,2021-08-30,134.01,131.93,133.41
384,2021-08-27,135.1499,132.36,133.69
385,2021-08-26,132.74,130.64,131.04
386,2021-08-25,134.52,131.63,132.54
387,2021-08-24,132.7,130.23,132.56
388,2021-08-23,131.0989,128.93,129.46
389,2021-08-20,129.43,126.61,128.77
390,2021-08-19,129.22,126.0,128.46
391,2021-08-18,129.66,126.09,128.0
392,2021-08-17,129.3316,125.93,128.11
393,2021-08-16,133.67,130.55,130.97
394,2021-08-13,134.84,133.18,133.67
395,2021-08-12,134.28,132.2501,133.85
396,2021-08-11,134.07,131.17,133.51
397,2021-08-10,133.5305,131.27,132.11
398,2021-08-09,134.45,132.71,132.86
399,2021-08-06,136.05,134.02,135.2
400,2021-08-05,134.75,129.49,134.03
401,2021-08-04,132.33,128.26,128.7
402,2021-08-03,130.97,127.04,129.54
403,2021-08-02,130.84,126.02,126.32
404,2021-07-30,128.12,125.5,126.52
405,2021-07-29,128.3,125.72,125.92
406,2021-07-28,126.9099,123.905,125.22
407,2021-07-27,126.83,124.85,125.87
408,2021-07-26,127.24,123.84,127.03
409,2021-07-23,126.6646,122.85,124.15
410,2021-07-22,127.53,124.409,125.1
411,2021-07-21,129.22,126.7,127.93
412,2021-07-20,126.15,118.26,125.63
413,2021-07-19,120.57,114.715,117.19
